row_id,claim_id,source_id,source_file,page,entry_no,name,venue_type,section,street_address,locality,region,island,country,phone,website_printed,website_corrected,maps_search_string,google_place_id,latitude,longitude,poi_match_status,entry_type,area_or_cluster,parse_confidence,candidate_status,triage_status,description,flags_notes
VEN-001,CLM-001,SRC-MLT-001,Malta-1.pdf (1 of 3),2,257,Diar il-Bniet,Restaurant,Authentic Maltese eateries,Triq il-Kbira,Dingli,Northwest Malta,Malta,Malta,+356 2762 0727,diarilbniet.com,diarilbniet.com,"Diar il-Bniet, Dingli, Malta",,,,unresolved,venue,no,high,stub,untriaged,Restaurant named after a medieval fief; serves fresh local produce 'from their fields to your fork'; old Maltese eatery decor; runs culinary workshops; booking recommended.,Street: Triq il-Kbira
VEN-002,CLM-002,SRC-MLT-001,Malta-1.pdf (1 of 3),2,258,Il-Barri,Restaurant,Authentic Maltese eateries,Triq il-Kbira,Mgarr,Northwest Malta,Malta,Malta,+356 2157 3235,il-barri.com.mt,il-barri.com.mt,"Il-Barri, Mgarr, Malta",,,,unresolved,venue,no,high,stub,untriaged,"Off the main square; one of the first restaurants in the locality, 75 years, family-run; large good portions; rabbit stew a mainstay; underground WWII shelter beneath.",Street: Triq il-Kbira; locality Mgarr (Maltese: Mgharr)
VEN-003,CLM-003,SRC-MLT-001,Malta-1.pdf (1 of 3),5,259,Ta' Rikardu,Restaurant,Authentic Maltese eateries,4 Fosos St,Victoria,Gozo,Gozo,Malta,+356 2155 5953,,,"Ta' Rikardu, Victoria, Gozo",,,,unresolved,venue,no,high,stub,untriaged,"In the Citadel; retains original decor; local favourites incl vegetable soup and rabbit stew; known for appetisers, local cheese and wine from the owner's vineyard and farm.",Street: 4 Fosos St
VEN-004,CLM-004,SRC-MLT-001,Malta-1.pdf (1 of 3),5,260,Il-Bitha ta' Doni,Restaurant,Authentic Maltese eateries,St Paul's St,Rabat,Northwest Malta,Malta,Malta,+356 2761 5270,,,"Il-Bitha ta' Doni, Rabat, Malta",,,,unresolved,venue,no,high,stub,untriaged,On a busy Rabat street near a small church; good ambience and relaxed atmosphere; authentic Maltese and Mediterranean food.,Street: St Paul's St
VEN-005,CLM-005,SRC-MLT-001,Malta-1.pdf (1 of 3),5,261,Ta' Marija Restaurant,Restaurant,Authentic Maltese eateries,Constitution St,Mosta,Northwest Malta,Malta,Malta,+356 2143 4444,tamarija.com,tamarija.com,"Ta' Marija Restaurant, Mosta, Malta",,,,unresolved,venue,no,high,stub,untriaged,"Authentic Maltese fare, gastro-style cuisine, folklore show and music; family-owned; popular with locals and visitors.",Street: Constitution St
VEN-006,CLM-006,SRC-MLT-001,Malta-1.pdf (1 of 3),6,262,Maxokk Bakery,Bakery,Your daily Bread,St James St,Nadur,Gozo,Gozo,Malta,+356 2155 0014,maxokkbakery.com,maxokkbakery.com,"Maxokk Bakery, Nadur, Gozo",,,,unresolved,venue,no,medium,stub,untriaged,"Family-run bakery known for traditional ftira (Maltese pizza equivalent), oven-baked in an old brick oven; try with local cheeselets.",Entry number clipped at page edge; inferred 262. Street: St James St
VEN-007,CLM-007,SRC-MLT-001,Malta-1.pdf (1 of 3),6,263,Mekren Bakery,Bakery,Your daily Bread,Triq Hanaq,Nadur,Gozo,Gozo,Malta,+356 2155 2342,,,"Mekren Bakery, Nadur, Gozo",,,,unresolved,venue,no,medium,stub,untriaged,"Freshly baked bread, ricotta pies and pizzas baked in an old oven still in use; family-run, in an old building.",Entry number partly clipped ('63'); inferred 263. Street: Triq Hanaq
VEN-008,CLM-008,SRC-MLT-001,Malta-1.pdf (1 of 3),7,264,Nenu the Artisan Baker,Bakery,Your daily Bread,143 St Dominic St,Valletta,Valletta,Malta,Malta,+356 2258 1535,nenuthebaker.com,nenuthebaker.com,"Nenu the Artisan Baker, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,"Old bakery that supplied downtown Valletta, now a classic Maltese restaurant; the bakery can still be visited; traditional food with retained Maltese names; booking recommended.",Street: 143 St Dominic St
VEN-009,CLM-009,SRC-MLT-001,Malta-1.pdf (1 of 3),7,265,Ta' Saminu Bakery,Bakery,Your daily Bread,Soil St,Xewkija,Gozo,Gozo,Malta,+356 2156 0864,tasaminubakery.com,tasaminubakery.com,"Ta' Saminu Bakery, Xewkija, Gozo",,,,unresolved,venue,no,high,stub,untriaged,"Small traditional bakery selling freshly baked bread, savouries and pastries; usually busy; no seating.",Street: Soil St
VEN-010,CLM-016,SRC-MLT-001,Malta-1.pdf (1 of 3),11,272,Sottovento,Restaurant,Dining with a Sea View,Xatt il-Forn,Vittoriosa,Southeast Malta,Malta,Malta,+356 2180 8990,,,"Sottovento, Vittoriosa, Malta",,,,unresolved,venue,no,high,stub,untriaged,One of the best fish restaurants in the area; comfortable indoor and outdoor seating; very fresh fish; menu includes traditional fare; popular with locals and visitors.,Street: Xatt il-Forn
