coordinates_lat;coordinates_lng;name
50.09835440;14.43252420;Acid Coffee
50.10577260;14.47340800;Alf & Bet
50.10021910;14.42742430;Amato Gelateria
50.10305180;14.45091320;Big Smokers
50.09449030;14.45624860;Bistro Proti Proudu
50.09493800;14.45056300;Blue fjord
50.10013640;14.42253190;BON Ramen
50.09332580;14.44651760;Bufet
50.09986190;14.42514210;Burgerman
50.10006200;14.42181200;Cafe Cruz
50.10240130;14.42441170;Café Lajka
50.09818960;14.42535700;Cafe Letka
50.10170880;14.42229860;Café Tvaroh
50.10115060;14.41790660;Chleba a máslo
50.10004420;14.42200110;Choux Choux
50.09813570;14.42442910;Chutnej
50.09924420;14.43211730;Cobra
50.10256300;14.44706200;Coffee Room - Holešovice
50.09901640;14.43407480;Crème de la Crème - Holečovice
50.09983250;14.42799650;Crêperie U Slepé kočičky
50.10371800;14.45014830;Čtyřka
50.10088740;14.41717790;Cukrárna Alchymista
50.09359110;14.45663970;Dear Watson
50.09985660;14.42780780;Dos Mundos Café
50.09349420;14.44681940;Dva kohouti
50.09256200;14.45143800;EMA espresso bar
50.10593750;14.45031250;EMA espresso bar
50.09136220;14.45437400;ESKA
50.10093800;14.42606300;ESKA Letna
50.09451260;14.45782720;Etapa
50.11093700;14.45031200;FATFUCK - Smash Burgers
50.09368800;14.44743700;Favoreat
50.09968800;14.42943800;format.coffee
50.09215650;14.45752720;FUEL bistro
50.09311320;14.45453520;Garage
50.09961610;14.43367620;Hillbilly
50.10716630;14.45513450;Home Kitchen
50.09143820;14.45264850;Hong Kong
50.10113550;14.42825020;hrnek
50.09467060;14.45343290;Kaava
50.09932330;14.43309590;Kafe Francin
50.10340640;14.45336760;Kafe na zastávce
50.09505580;14.44599370;Karlínská HolKa
50.10069830;14.43637710;Kavárna Liberál
50.10267880;14.42534040;Klub AVU
50.10165750;14.44893580;Knihkopec
50.10110530;14.43267400;Kolektor
50.10780930;14.44860100;Kontejner
50.10418800;14.46893700;KRO Libeň
50.09460150;14.45311670;Krystal bistro
50.10193700;14.44818700;La Forme Holesovice
50.09847100;14.46104130;Lagom bistro
50.10006200;14.42568800;Las Adelitas (Letná)
50.10300800;14.43331240;Letec espresso bar
50.09618420;14.42573590;Letna beer garden
50.10473880;14.46885770;Light Roast Coffee
50.10031300;14.44818700;LOKA
50.09315880;14.44668480;Lokál Hamburk
50.10307820;14.41837940;Lokál Nad Stromovkou
50.10288050;14.42609980;Luft
50.10106200;14.41818800;Matilda
50.10056200;14.42481200;Matsuri
50.10543800;14.45631200;Mensa
50.10556300;14.45081200;Mexicka
50.09946690;14.42773740;Mr. Hot Dog
50.09351840;14.45515800;Můj Šálek Kávy
50.10023690;14.44615150;Myšák - Holešovická tržnice
50.10006200;14.42243800;Na břehu Rhôny Letná
50.10037760;14.44610450;Naše maso - Holešovická tržnice
50.10268750;14.45443750;Naše Toustárna
50.09443700;14.44431300;Off bistro by Home Kitchen
50.09908200;14.43157990;Onigirazu
50.10443700;14.44647410;Osada
50.10206200;14.44943800;Pekárna Skýva
50.10343700;14.45018800;Phill’s Corner
50.09959270;14.42431220;Pilot Cafe Letná
50.09968800;14.42918800;PIPCA
50.10556300;14.42943800;Pivovar Kolkovna
50.09778100;14.43128570;Pizza Gatto Nero Letná
50.09389280;14.44819350;Pohostinec Karlín
50.10302840;14.44927530;Polepšovna
50.09918700;14.42343800;Prosekárna Letná
50.10181300;14.45343700;PRU58
50.09496370;14.44551160;Revír
50.09583470;14.44960450;Riders coffee
50.09918700;14.42318800;Ristorantino da Matteo
50.09967900;14.42763210;Sandwich Rodeo
50.09927760;14.44472560;SaSaZu
50.10331300;14.44706200;Sip Sip Hooray
50.10331470;14.44723800;Slice Slice Baby Pizza Club
50.09079030;14.45159160;Spojka
50.10246840;14.43633720;Stejkárna Holešovice
50.09481200;14.45406200;Sugo
50.10818700;14.43793800;Supernova Bakehouse
50.09193800;14.45306200;Supernova Bakehouse
50.10466840;14.45012240;Svááča
50.10126540;14.43386150;Teplá kačka
50.10718800;14.42806200;Terasa 67
50.10745490;14.45091040;The Eatery
50.09642080;14.46069450;The Miners Coffee Bakery
50.10431200;14.44968700;The Miners Coffee Komunardů
50.09943800;14.43093700;The Miners Coffee Letna
50.10404780;14.46595240;The Miners Coffee Roastery
50.10368700;14.44668700;The Winery
50.10193700;14.44393800;TVEE Coffee
50.09309830;14.45606540;TYPIKA Karlín
50.09390680;14.45694550;Veltlin
50.10193700;14.44931200;Vnitroblok
50.10030610;14.42434030;Ye’s Cafe
50.09635040;14.45167420;Ye's coffee and wine
